Date,Closing,Opening,High,Low,Volume,Diff %
02.11.2021,4586.06,4320.85,4598.38,4287.36,630260.00,6.14000
01.11.2021,4320.85,4287.41,4376.94,4157.51,574260.00,0.78000
31.10.2021,4287.56,4322,4393.61,4169.48,555320.00,-0.77000
30.10.2021,4320.65,4413.7,4428.41,4250.24,494870.00,-2.11000
29.10.2021,4413.7,4284.9,4458.3,4268.21,781570.00,3.01000
28.10.2021,4284.9,3921.54,4289.8,3896.33,865800.00,9.25000
27.10.2021,3921.93,4130.06,4299.61,3914.06,1070000.00,-5.03000
26.10.2021,4129.51,4219.92,4291.98,4098.19,559290.00,-2.14000
25.10.2021,4219.92,4082.68,4234.76,4069.94,481410.00,3.36000
24.10.2021,4082.8,4168.8,4184,3965.84,507630.00,-2.06000
23.10.2021,4168.85,3970.94,4169.33,3938.79,487030.00,4.98000
22.10.2021,3970.94,4053.89,4164.11,3896.4,654770.00,-2.05000
21.10.2021,4054.16,4160.51,4366.91,4029.48,1140000.00,-2.54000
20.10.2021,4159.89,3876.76,4168.12,3830.26,752030.00,07.мар
19.10.2021,3876.78,3745.46,3884.34,3733.78,488600.00,3.45000
18.10.2021,3747.6,3848.64,3892.01,3685.82,578210.00,-2.55000
17.10.2021,3845.47,3827.55,3917.56,3664.63,543520.00,0.47000
16.10.2021,3827.55,3869.05,3967.43,3804.55,527610.00,-1.02000
15.10.2021,3866.9,3790.34,3904.91,3735.21,721140.00,2.02000
14.10.2021,3790.41,3607.36,3820.47,3588.24,697090.00,5.08000
13.10.2021,3607.28,3491.08,3612.04,3416,557180.00,3.36000
12.10.2021,3489.9,3541.49,3545.35,3404.49,609890.00,-1.56000
11.10.2021,3545.06,3414.93,3622.53,3381.43,683240.00,3.81000
10.10.2021,3415.03,3574.52,3599.18,3409.22,767490.00,-4.45000
09.10.2021,3574.2,3559.96,3626.11,3541.4,464110.00,0.42000
08.10.2021,3559.42,3586.91,3668.35,3537.24,681740.00,-0.74000
07.10.2021,3586,3575.43,3650.18,3473.47,826290.00,0.3000
06.10.2021,3575.41,3515.35,3627.19,3345.56,1050000.00,1.65000
05.10.2021,3517.26,3383.32,3540.83,3365.28,663880.00,3.97000
04.10.2021,3382.9,3417.26,3436.34,3273.22,826830.00,-1.01000
03.10.2021,3417.34,3388.83,3485.48,3346.63,642590.00,0.84000
02.10.2021,3388.97,3309.14,3467.95,3265.97,778150.00,2.41000
01.10.2021,3309.13,2999.86,3329.32,2972.75,1140000.00,10.28000
30.09.2021,3000.59,2851.06,3047.08,2837.68,968230.00,5.23000
29.09.2021,2851.5,2807.15,2948.5,2784.66,728860.00,1.57000
28.09.2021,2807.28,2926.04,2969.18,2791.42,896280.00,-4.07000
27.09.2021,2926.24,3061.86,3163.86,2926.24,865300.00,-4.48000
26.09.2021,3063.51,2922.47,3113.65,2740.12,1330000.00,4.82000
25.09.2021,2922.55,2928.59,2965.48,2812.7,975490.00,-0.21000
24.09.2021,2928.57,3152.92,3158.38,2740.06,1740000.00,-7.12000
23.09.2021,3152.92,3077.8,3173,3035.96,841540.00,2.44000
22.09.2021,3077.78,2764.71,3087.97,2740.58,1190000.00,11.45000
21.09.2021,2761.52,2976.7,3101.88,2659.71,1790000.00,-7.21000
